order_id,order_date,customer_id,sku,product,category,quantity,unit_price,discount_percent,country,channel
ORD-102671,2025-10-18 20:14,C00137,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Kingdom,Website
ORD-105710,2026-07-05 15:14,C00771,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,Saudi Arabia,retail
ORD-100346,2025-10-04 11:14,,SKU-1001,Mechanical keyboard,Peripherals,2,"Rs 9,800",0,United Kingdom,Website
ORD-103157,2025-07-16 08:14,,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Arab Emirates,marketplace
ORD-104756,2026-08-18 18:14,C00316,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,United Arab Emirates,Website
ORD-100950,2025-10-24 09:14,C00654,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,UK,retail
ORD-102433,2026-03-18 12:14,C00042,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,United Arab Emirates,Website
ORD-100463,2026-03-25 07:14,,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,UK,Website
ORD-101092,2026-04-24 15:14,,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",10,United Arab Emirates,retail
ORD-102056,2026-02-04 09:14,C00768,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,UK,Website
ORD-103752,2025-04-27 17:14,C00555,SKU-1005,24 inch monitor,Displays,5,"Rs 32,900",10,Saudi Arabia,marketplace
ORD-101031,2026-03-30 09:14,C00240,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,PK,marketplace
ORD-103140,2026-02-18 15:14,C00110,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,pakistan,retail
ORD-105023,2025-11-02 18:14,C00688,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",5,UK,Website
ORD-105689,2026-05-17 13:14,C00379,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",20,United Kingdom,website
ORD-103307,2026-07-11 12:14,C00051,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,UK,website
ORD-103948,2025-06-14 20:14,C00744,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,United Arab Emirates,Website
ORD-102164,2025-08-11 16:14,C00043,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,United Arab Emirates,website
ORD-105359,2025-11-04 16:14,C00404,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,Saudi Arabia,marketplace
ORD-103472,2025-08-10 12:14,C00472,SKU-1005,24 inch monitor,Displays,3,"Rs 32,900",0,Saudi Arabia,retail
ORD-105795,2026-08-07 16:14,C00027,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",10,United Arab Emirates,retail
ORD-101765,2025-04-09 12:14,C00474,SKU-1002,Wireless mouse,Peripherals,2,"Rs 2,600",5,UAE,retail
ORD-103829,2026-06-16 17:14,C00109,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,PK,Website
ORD-105303,2026-04-23 19:14,C00055,SKU-1003,USB-C cable 2m,Cables,2,Rs 850,5,PK,marketplace
ORD-100420,2025-08-14 09:14,C00755,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,5,pakistan,marketplace
ORD-100895,2025-09-09 07:14,C00436,SKU-1002,Wireless mouse,Peripherals,3,"Rs 2,600",0,Saudi Arabia,Website
ORD-101210,2026-08-25 19:14,C00425,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",5,pakistan,marketplace
ORD-102624,2025-08-15 13:14,C00019,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,United Arab Emirates,website
ORD-100343,2025-06-19 18:14,C00010,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,Pakistan,Website
ORD-104680,2025-03-22 14:14,C00055,SKU-1002,Wireless mouse,Peripherals,2,"Rs 2,600",0,Pakistan,Website
ORD-102585,2025-09-16 14:14,C00060,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,United Kingdom,website
ORD-103361,2026-02-16 11:14,C00600,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,pakistan,marketplace
ORD-104279,2026-06-30 14:14,C00246,SKU-1006,Laptop stand,Accessories,2,"Rs 4,200",0,Saudi Arabia,marketplace
ORD-104600,2025-08-16 14:14,C00185,SKU-1010,65W GaN charger,Power,5,"Rs 3,900",5,PK,retail
ORD-101965,2025-09-13 09:14,C00150,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Kingdom,Website
ORD-101670,2025-04-02 14:14,C00435,SKU-1002,Wireless mouse,Peripherals,2,"Rs 2,600",5,UK,retail
ORD-100178,2025-08-12 07:14,,SKU-1001,Mechanical keyboard,Peripherals,2,,0,UAE,website
ORD-105694,2026-07-23 10:14,C00282,SKU-1006,Laptop stand,Accessories,1,"Rs 4,200",20,UAE,marketplace
ORD-104200,2025-11-24 07:14,C00470,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",5,pakistan,retail
ORD-103893,2025-03-26 14:14,C00745,SKU-1002,Wireless mouse,Peripherals,1,"Rs 2,600",0,UAE,marketplace
ORD-101100,2026-02-09 11:14,C00021,SKU-1010,65W GaN charger,Power,2,"Rs 3,900",0,pakistan,website
ORD-105227,2026-05-26 11:14,C00289,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,0,United Arab Emirates,marketplace
ORD-104120,2025-11-22 20:14,C00811,SKU-1008,1TB portable SSD,Storage,1,"Rs 13,500",0,United Arab Emirates,Website
ORD-103787,2025-11-10 10:14,C00682,SKU-1003,USB-C cable 2m,Cables,1,Rs 850,10,United Arab Emirates,marketplace
ORD-100053,2025-04-14 13:14,C00393,SKU-1007,Noise cancelling headset,Audio,2,"Rs 6,900",0,United Arab Emirates,marketplace
ORD-101981,2025-06-22 20:14,C00186,SKU-1001,Mechanical keyboard,Peripherals,1,"Rs 9,800",0,United Arab Emirates,retail
ORD-102359,2026-04-26 13:14,C00831,SKU-1004,HDMI cable 1.5m,Cables,2,"Rs 1,300",0,UAE,Website
ORD-100503,2026-02-06 11:14,C00017,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,Pakistan,marketplace
ORD-103474,2025-08-09 18:14,C00056,SKU-1009,Webcam 1080p,Video,2,"Rs 5,400",0,PK,Website
ORD-105017,2026-06-24 18:14,C00005,SKU-1004,HDMI cable 1.5m,Cables,1,"Rs 1,300",0,United Kingdom,retail
ORD-101005,2026-08-09 15:14,C00025,SKU-1007,Noise cancelling headset,Audio,1,"Rs 6,900",0,Saudi Arabia,marketplace
ORD-102221,2026-06-06 11:14,C00115,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",0,Saudi Arabia,marketplace
ORD-105840,2025-12-11 19:14,C00010,SKU-1010,65W GaN charger,Power,1,"Rs 3,900",0,UAE,marketplace
ORD-102062,2025-06-06 12:14,C00035,SKU-1009,Webcam 1080p,Video,1,"Rs 5,400",10,Saudi Arabia,Website
